t=2026-07-02T10:54:48+0530 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-07-02T10:54:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-02T10:54:48+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T10:54:48+0530 lvl=info msg="open config file" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T10:54:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T10:54:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T10:54:48+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://7972-203-212-207-177.ngrok-free.app
t=2026-07-02T10:54:56+0530 lvl=info msg=start pg=/api/tunnels id=315f21ac0ac79890
t=2026-07-02T10:54:56+0530 lvl=info msg=end pg=/api/tunnels id=315f21ac0ac79890 status=200 dur=2.2039ms
t=2026-07-02T10:55:10+0530 lvl=info msg=start pg=/api/tunnels id=3c32d7296ed0f47b
t=2026-07-02T10:55:10+0530 lvl=info msg=end pg=/api/tunnels id=3c32d7296ed0f47b status=200 dur=2.3247ms
t=2026-07-02T10:55:18+0530 lvl=info msg="join connections" obj=join id=69be160b113a l=[::1]:3000 r=203.212.207.177:61192
t=2026-07-02T10:55:22+0530 lvl=info msg="join connections" obj=join id=86bb974fd507 l=[::1]:3000 r=203.212.207.177:50501
t=2026-07-02T10:57:07+0530 lvl=info msg="join connections" obj=join id=5795bbb203a5 l=[::1]:3000 r=203.212.207.177:60298
t=2026-07-02T10:57:08+0530 lvl=info msg="join connections" obj=join id=077456156987 l=[::1]:3000 r=203.212.207.177:60300
t=2026-07-02T10:57:14+0530 lvl=info msg="join connections" obj=join id=1d1b48c258ac l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:57:15+0530 lvl=info msg="join connections" obj=join id=7f1c5fcd7e49 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:57:15+0530 lvl=info msg="join connections" obj=join id=ee5c8aac9403 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
